institution.name,specialty.name,program.name,degree,program.link
КГУ,Судебная и прокурорская деятельность (40.05.04),Судебная деятельность,Бакалавр,https://kursk.postupi.online/vuz/yurfak-kgu-kursk/programma/8493/
КГУ,Менеджмент (38.03.02),Менеджмент организации,Прикладной бакалавр,https://kursk.postupi.online/vuz/institut-ekonomiki-i-upravleniya-kgu-kursk/programma/307/
КГУ,Социальная работа (39.03.02),Социальная работа в системе социальных служб,Академический бакалавр,https://kursk.postupi.online/vuz/isit-kgu-kursk/programma/1376/
КГУ,Юриспруденция (40.03.01),Уголовное право и уголовный процесс,Академический бакалавр,https://kursk.postupi.online/vuz/yurfak-kgu-kursk/programma/4386/
КГУ,Сервис (43.03.01),Сервис автотранспортных средств,Академический бакалавр,https://kursk.postupi.online/vuz/industrial-kgu-kursk/programma/594/
ЮЗГУ,Вокальное искусство (53.03.03),Академическое пение,"Концертно-камерный певец, преподаватель (Академическое пение)",https://kursk.postupi.online/vuz/flmk-yuzgu/programma/2154/
ЮЗГУ,Информационная безопасность телекоммуникационных систем (10.05.02),Управление безопасностью телекоммуникационных систем и сетей,Специалист по защите информации,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/1049/
ЮЗГУ,Строительство (08.03.01),Автомобильные дороги,Бакалавр,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/235/
ЮЗГУ,Таможенное дело (38.05.02),Организация таможенного контроля,Специалист таможенного дела,https://kursk.postupi.online/vuz/guimo-yuzgu/programma/603/
ЮЗГУ,Математическое обеспечение и администрирование информационных систем (02.03.03),Интеллектуальный анализ данных в экономике,Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/17562/
ЮЗГУ,Информатика и вычислительная техника (09.03.01),Интеллектуальные системы в цифровой экономике,Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/14344/
ЮЗГУ,Инфокоммуникационные технологии и системы связи (11.03.02),Системы мобильной связи,Бакалавр,https://kursk.postupi.online/vuz/ffipi-yuzgu/programma/647/
ЮЗГУ,Химическая технология (18.03.01),Химико-технологическое производство,Бакалавр,https://kursk.postupi.online/vuz/enf-yuzgu/programma/2448/
ЮЗГУ,Горное дело (21.05.04),Открытые горные работы,Горный инженер (специалист),https://kursk.postupi.online/vuz/fsa-yuzgu/programma/496/
ЮЗГУ,Продукты питания из растительного сырья (19.03.02),Организация и управление в производстве продуктов питания,Бакалавр,https://kursk.postupi.online/vuz/guimo-yuzgu/programma/14348/
ЮЗГУ,Горное дело (21.05.04),Обогащение полезных ископаемых,Горный инженер (специалист),https://kursk.postupi.online/vuz/fsa-yuzgu/programma/1652/
ЮЗГУ,Правовое обеспечение национальной безопасности (40.05.01),Международно-правовая специализация,Юрист,https://kursk.postupi.online/vuz/yuridicheskij-fakultet-yuzgu/programma/607/
ЮЗГУ,Правоохранительная деятельность (40.05.02),Оперативно-розыскная деятельность,Юрист,https://kursk.postupi.online/vuz/yuridicheskij-fakultet-yuzgu/programma/1287/
ЮЗГУ,Строительство уникальных зданий и сооружений (08.05.01),Строительство высотных и большепролетных зданий и сооружений,Инженер-строитель,https://kursk.postupi.online/vuz/fsa-yuzgu/programma/946/
ЮЗГУ,Правоохранительная деятельность (40.05.02),Административная деятельность полиции,Юрист,https://kursk.postupi.online/vuz/yuridicheskij-fakultet-yuzgu/programma/1024/
ЮЗГУ,Экономика (38.03.01),"Бухгалтерский учет, анализ и аудит",Бакалавр,https://kursk.postupi.online/vuz/feim-yuzgu/programma/390/
ЮЗГУ,Конфликтология (37.03.02),Конфликтология в управлении персоналом,Бакалавр,https://kursk.postupi.online/vuz/flmk-yuzgu/programma/3164/
ЮЗГУ,Международные отношения (41.03.05),Бизнес-аналитика и деловое администрирование в международных отношениях,Бакалавр,https://kursk.postupi.online/vuz/guimo-yuzgu/programma/591/
КГУ,Педагогическое образование (44.03.01),Музыка,Прикладной бакалавр,https://kursk.postupi.online/vuz/iskusstv-i-art-pedagogiki-kgu-kursk/programma/542/
КГУ,Психолого-педагогическое образование (44.03.02),Психология образовательной деятельности,Академический бакалавр,https://kursk.postupi.online/vuz/pedagogiki-i-psihologii-kgu-kursk/programma/1620/
КГУ,Педагогическое образование (с двумя профилями подготовки) (44.03.05),Иностранный язык (немецкий) и Иностранный язык (английский),Прикладной бакалавр,https://kursk.postupi.online/vuz/inyaz-kgu-kursk/programma/9061/
КГУ,Педагогическое образование (с двумя профилями подготовки) (44.03.05),Изобразительное искусство и Дополнительное образование (декоративно-прикладное искусство),Бакалавр,https://kursk.postupi.online/vuz/iskusstv-i-art-pedagogiki-kgu-kursk/programma/9607/
КГУ,Журналистика (42.03.02),Конвергентная журналистика,Прикладной бакалавр,https://kursk.postupi.online/vuz/filfak-kgu-kursk/programma/2325/
КГУ,История (46.03.01),История России и зарубежных стран,Академический бакалавр,https://kursk.postupi.online/vuz/istoricheskij-fakultet-kgu-kursk/programma/5131/
КГУ,Математическое обеспечение и администрирование информационных систем (02.03.03),Проектирование информационных систем и баз данных,Академический бакалавр,https://kursk.postupi.online/vuz/fmi-kgu-kursk/programma/49/
КГУ,Электроника и наноэлектроника (11.03.04),Технологии в наноэлектронике,Академический бакалавр,https://kursk.postupi.online/vuz/fmi-kgu-kursk/programma/279/
КГУ,Биология (06.03.01),Биоэкология,Академический бакалавр,https://kursk.postupi.online/vuz/egf-kgu-kursk/programma/193/
КГУ,Лингвистика (45.03.02),Теория и методика иноязычного образования (английский и китайский языки),Бакалавр,https://kursk.postupi.online/vuz/inyaz-kgu-kursk/programma/1841/
